wine_upc,item_desc_truth,brand_family_truth,size_truth,color_truth,Period Descriptions,$,$ YA,9 Liter Equivs,9 Liter Equivs YA,Units,Units YA,Max Item %ACV Reach Where Dist WINE,Max Item %ACV Reach YA Where Dist WINE,$ Per Point of Max Item ACV,# Stores,# Stores Selling,$ per Store Selling,arp_truth,arp_ly_truth,prestige_truth
8175305020,VEUVE CLICQUOT PONSARDIN 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,104676881.36,92493705.65,147448.02,134674.64,1769376.00,1616096.00,51.00%,50.00%,2060527.97,238866,20354,5142.87,$59.16,$57.23,
8811055105,MOET & CHANDON IMPERIAL 750ML,MOET & CHANDON,750ML,WHITE,Latest 52 Wks,34433241.36,39003535.79,55263.71,65428.91,663164.00,785147.00,36.00%,36.00%,947869.12,238866,18223,1889.59,$51.92,$49.68,
8175381475,VEUVE CLICQUOT PONSARDIN 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,26899325.57,29476605.19,38019.38,42783.81,456233.00,513406.00,8.00%,9.00%,3218777.74,238866,5002,5377.29,$58.96,$57.41,
8175382242,DOM PERIGNON CHAMPAGNE 750ML,DOM PERIGNON,750ML,WHITE,Latest 52 Wks,20725820.67,24600928.91,6794.15,9680.50,81530.00,116166.00,7.00%,9.00%,3070491.95,238866,4537,4567.81,$254.21,$211.77,Prestige
8807616165,MOET & CHANDON NECTAR ROSE 750ML,MOET & CHANDON,750ML,PINK,Latest 52 Wks,18941702.61,23037981.77,25414.51,29901.24,304974.00,358815.00,8.00%,7.00%,2394652.67,238866,5944,3186.93,$62.11,$64.21,
8175380247,VEUVE CLICQUOT ROSE 750ML,VEUVE CLICQUOT,750ML,PINK,Latest 52 Wks,14317732.05,16314322.64,16824.20,19485.95,201890.00,233831.00,20.00%,19.00%,707572.62,238866,8098,1768.05,$70.92,$69.77,
8175381102,DOM PERIGNON CHAMPAGNE 750ML,DOM PERIGNON,750ML,WHITE,Latest 52 Wks,10369605.69,7664013.39,3366.63,2926.87,40400.00,35122.00,4.00%,5.00%,2662286.44,238866,2883,3597.36,$256.68,$218.21,Prestige
8858600389,NICOLAS FEUILLATTE CHAMPAGNE 750ML,NICOLAS FEUILLATTE,750ML,WHITE,Latest 52 Wks,9914755.08,9001836.32,22506.35,21012.04,270076.00,252144.00,26.00%,21.00%,383149.32,238866,9245,1072.40,$36.71,$35.7,
8469250164,TAITTINGER LA FRANCAISE 750ML,TAITTINGER,750ML,WHITE,Latest 52 Wks,8475183.35,9672068.28,12529.64,15372.36,150356.00,184468.00,14.00%,14.00%,604420.44,238866,6327,1339.44,$56.37,$52.43,
8175381802,MOET & CHANDON ICE 750ML,MOET & CHANDON,750ML,WHITE,Latest 52 Wks,7994629.93,10418366.46,10445.08,14295.03,125341.00,171540.00,5.00%,5.00%,1550849.65,238866,4541,1760.38,$63.78,$60.73,
8811055240,MOET & CHANDON ROSE 750ML,MOET & CHANDON,750ML,PINK,Latest 52 Wks,7565568.99,8989331.28,9910.04,11912.07,118920.00,142945.00,11.00%,11.00%,717523.61,238866,6560,1153.21,$63.62,$62.89,
8175305022,VEUVE CLICQUOT PONSARDIN 375ML,VEUVE CLICQUOT,375ML,WHITE,Latest 52 Wks,6727943.30,6606524.74,7267.31,7876.03,174415.00,189025.00,19.00%,20.00%,348075.08,238866,6657,1010.64,$38.57,$34.95,
1098601035,PERRIER JOUET GRAND BRUT 750ML,PERRIER JOUET,750ML,WHITE,Latest 52 Wks,6456392.02,7610610.93,9158.93,11917.09,109907.00,143005.00,15.00%,16.00%,441100.77,238866,6138,1051.80,$58.74,$53.22,
8811055125,MOET & CHANDON NECTAR 750ML,MOET & CHANDON,750ML,WHITE,Latest 52 Wks,5892930.29,6950553.89,8399.81,10117.39,100798.00,121409.00,5.00%,5.00%,1298574.33,238866,3887,1516.12,$58.46,$57.25,
66750500047,PIPER-HEIDSIECK CHAMPAGNE 750ML,PIPER-HEIDSIECK,750ML,WHITE,Latest 52 Wks,5532995.23,3401795.76,10732.32,6696.40,128788.00,80357.00,16.00%,12.00%,341058.70,238866,6173,896.36,$42.96,$42.33,
8175383596,VEUVE CLICQUOT PONSARDIN 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,5441099.56,429953.91,7725.37,577.04,92704.00,6924.00,3.00%,0.00%,1965005.26,238866,1790,3039.98,$58.69,$62.09,
8175383566,MOET & CHANDON IMPERIAL 750ML,MOET & CHANDON,750ML,WHITE,Latest 52 Wks,5053715.72,131103.35,8699.71,219.45,104396.00,2633.00,4.00%,1.00%,1135156.27,238866,2678,1886.97,$48.41,$49.78,
8487816100,LAURENT-PERRIER LA CUVEE BRUT 750ML,LAURENT-PERRIER,750ML,WHITE,Latest 52 Wks,4940015.10,6837690.67,6834.18,11592.98,82010.00,139116.00,6.00%,6.00%,819239.65,238866,3481,1419.16,$60.24,$49.15,
8175383317,VEUVE CLICQUOT PONSARDIN 750ML,VEUVE CLICQUOT,750ML,WHITE,Latest 52 Wks,4752954.96,7231264.04,6568.25,10576.92,78819.00,126923.00,0.00%,0.00%,64229121.08,238866,161,29447.57,$60.3,$56.97,
85283210489,GH MUMM GRAND CORDON 750ML,GH MUMM,750ML,WHITE,Latest 52 Wks,4572386.42,5414419.22,8763.15,11158.64,105158.00,133904.00,14.00%,15.00%,336106.03,238866,6324,723.04,$43.48,$40.44,
8807616722,RUINART BLANC DE BLANCS 750ML,RUINART,750ML,WHITE,Latest 52 Wks,4020594.96,3158232.85,3216.89,2697.98,38603.00,32376.00,2.00%,2.00%,2118332.44,238866,1519,2647.54,$104.15,$97.55,
8487883000,LAURENT-PERRIER ROSE 750ML,LAURENT-PERRIER,750ML,PINK,Latest 52 Wks,4019370.55,6037109.26,3531.22,5757.61,42375.00,69091.00,3.00%,3.00%,1286610.29,238866,2075,1937.44,$94.85,$87.38,
311394223471,BILLECART-SALMON ROSE 750ML,BILLECART-SALMON,750ML,PINK,Latest 52 Wks,3992763.76,3518902.92,3515.28,3237.30,42183.00,38848.00,2.00%,2.00%,1902221.89,238866,1632,2445.89,$94.65,$90.58,
8175383415,VEUVE CLICQUOT ROSE 750ML,VEUVE CLICQUOT,750ML,PINK,Latest 52 Wks,3950488.62,3444152.74,4654.97,4158.11,55860.00,49897.00,2.00%,1.00%,2113691.07,238866,1915,2062.53,$70.72,$69.02,
86457600015,BOLLINGER SPECIAL CHAMPAGNE 750ML,BOLLINGER,750ML,WHITE,Latest 52 Wks,3194624.64,3364458.88,3490.45,4169.66,41885.00,50036.00,4.00%,5.00%,761168.61,238866,2336,1367.61,$76.27,$67.24,
73459970145,LOUIS ROEDERER CRISTAL 750ML,LOUIS ROEDERER,750ML,WHITE,Latest 52 Wks,3051834.82,742601.73,743.80,197.87,8926.00,2374.00,2.00%,1.00%,1501887.22,238866,1362,2241.20,$341.92,$312.76,Prestige
8427900192,JACQUES BARDELOT CHAMPAGNE 750ML,JACQUES BARDELOT,750ML,WHITE,Latest 52 Wks,2872574.20,2676006.00,7255.46,7372.48,87065.00,88470.00,1.00%,1.00%,2327855.92,238866,397,7242.36,$32.99,$30.25,
