Nielsen Item Names,Nielsen Item Names ID,Brand Families,Colors,Sizes,Period Descriptions, $, $ YA, 9 Liter Equivs, 9 Liter Equivs YA,Units,Units LY, %ACV Reach Where Dist NON ALCOHOLIC, %ACV Reach Where Dist YA NON ALCOHOLIC, $ Per Point of ACV,# Stores,# Stores Selling,$ per Store Selling,GT,# Stores Last Period,# Stores Selling Last Period,$ per Store Selling Last Period,Prestige,ARP,ARP LY,ACV Calc
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175305020,VEUVE CLICQUOT,WHITE,750ML,Latest 52 Wks,129449238.8,125756888.6,178181.051,173816.245,2138172.698,2085795.029,0.52574,0.50764,2462229.215,260960.495,29832.848,4339.151219,TOTAL,260885,29817,4351.37,,60.54,60.29,11.43%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175305020,VEUVE CLICQUOT,WHITE,750ML,Latest 26 Wks,53142433.31,54690470.06,71924.872,73614.728,863098.503,883376.774,0.49809,0.47376,1066924.317,261037.091,26296.836,2020.86796,TOTAL,260922,26285,2012.23,,61.57,61.91,10.07%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175305020,VEUVE CLICQUOT,WHITE,750ML,Latest 13 Wks,25495565.27,27518426.33,34224.344,36495.097,410692.143,437941.181,0.45222,0.43991,563786.769,261185.275,22397.335,1138.330309,TOTAL,260997,23233,1177.72,,62.08,62.84,8.58%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8175305020,VEUVE CLICQUOT,WHITE,750ML,Latest 4 Wks,7144121.93,7451581.62,9544.123,9796.216,114529.479,117554.591,0.3344,0.33263,213640.0099,261443.248,15860.284,450.4409839,TOTAL,261123,16301,468.54,,62.38,63.39,6.07%
MOET & CHANDON IMPERIAL SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8811055105,MOET & CHANDON,WHITE,750ML,Latest 52 Wks,47988230.93,46485959.95,77023.543,73126.75,924282.556,877521.036,0.39235,0.3729,1223097.513,260960.495,30459.281,1575.487975,TOTAL,260885,30436,1576.73,,51.92,52.97,11.67%
MOET & CHANDON IMPERIAL SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8811055105,MOET & CHANDON,WHITE,750ML,Latest 26 Wks,20107906.64,19205985.21,32431.637,29916.813,389179.664,359001.767,0.36178,0.33948,555804.8162,261037.091,24671.35,815.0306587,TOTAL,260922,25107,778.32,,51.67,53.50,9.45%
MOET & CHANDON IMPERIAL SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8811055105,MOET & CHANDON,WHITE,750ML,Latest 13 Wks,10378078.16,10032961.65,16660.759,15612.868,199929.116,187354.428,0.32505,0.30606,319276.3623,261185.275,20272.549,511.9276394,TOTAL,260997,20271,530.69,,51.91,53.55,7.76%
MOET & CHANDON IMPERIAL SPK CHAMPAGNE WHITE WHITE BRUT CHAMPAGNE FRANCE 750ML,8811055105,MOET & CHANDON,WHITE,750ML,Latest 4 Wks,2943865.174,2953107.231,4720.933,4621.263,56651.202,55455.162,0.2254,0.21409,130606.2633,261443.248,12368.488,238.0133428,TOTAL,261123,12180,261.59,,51.96,53.25,4.73%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381475,VEUVE CLICQUOT,WHITE,750ML,Latest 52 Wks,41422799.15,44789749.31,55732.429,61362.291,668789.171,736347.526,0.07101,0.09821,5833375.461,260960.495,8705.947,4757.988895,TOTAL,260885,8710,4700.45,,61.94,60.83,3.34%
VEUVE CLICQUOT SPK CHAMPAGNE WHITE WHITE CHAMPAGNE FRANCE 750ML,8175381475,VEUVE CLICQUOT,WHITE,750ML,Latest 26 Wks,16357232.61,15018758,21977.121,20047.622,263725.463,240571.473,0.05228,0.06778,3128774.41,261037.091,6659.309,2456.295783,TOTAL,260922,6729,2284.27,,62.02,62.43,2.55%
